	A549 P3	A549 P4	A549 P6	BJ P5	BJ P6	BJ P8	Caco2 P7	Caco2 P8	Caco2 P9	Hep2G P4	Hep2G P5	Hep2G P7	RT4 P4	RT4 P6	RT4 P7	SK-Mel 24 P10	SK-Mel 24 P8	SK-Mel 24 P9	SK-Mel 28 P10	SK-Mel 28 P8	SK-Mel 28 P9	U2-OS P5	U2-OS P6	U2-OS P7	U251 P4	U251 P5	U251 P6
ENSG00000187741	12.0397	16.0417	17.8827	1.5631	0.43011	9.5218	16.5382	20.2471	20.6055	1.2865	17.1728	13.5076	14.1973	10.5123	6.1671	14.576	9.3378	19.8553	6.9816	9.4012	7.8856	29.0785	29.4631	28.5688	11.616	16.4595	12.1813
ENSG00000187742	19.5956	16.2552	21.4217	6.1924	5.6913	7.2787	8.6696	7.9374	11.5395	0.4431	2.1666	1.6042	13.1216	14.8851	8.4142	19.7762	17.2176	23.7831	18.3097	22.8415	20.0223	22.5109	24.3107	21.6862	21.2545	25.5253	24.4067
ENSG00000187747	0	0.062432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11806	0	0	0	0	0	0	0	0
ENSG00000187753	0	0.096451	0.48525	0	0.039187	0	0.088271	0	0	0	0.53263	0.22835	0	0.050724	0.056009	0.048764	0	0.32413	0.030585	0.72145	0.033061	0.44495	0.65924	0.070372	0.093364	0.034002	0.83993
ENSG00000187754	0	0.055219	0.22043	0	0	0	0.041057	0	0.066687	0	0	0	0.43738	0.21233	0.039059	0	0	0.097367	0	0	0.04621	0.099598	0.22098	0	0.065145	0.047588	0.094092
ENSG00000187758	0	0	0	0.15414	0	0	0	0	0	0	0.14453	0.15123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187764	6.2307	7.2463	7.4823	0.53317	0.53868	0.26874	5.5269	3.142	6.357	0.019518	0.31166	0.071113	4.5132	5.7597	3.0425	0.74517	0.86411	0.68067	1.976	2.5798	1.9076	7.0596	7.5401	7.096	4.2131	5.8852	5.3945
ENSG00000187766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187772	1.6723	1.0555	0.73379	0	0	0	3.7582	2.0676	3.9356	1.1538	6.2981	4.4575	0	0.014494	0	0.013838	0	0	1.3246	1.198	1.554	5.4774	4.0984	2.8551	0	0	0
ENSG00000187773	0	0	0	0	0.017169	0	0	0.040355	0.10412	0	0	0.034744	0	0	0	0.06717	0.28023	0	0.16759	0.22869	0.22724	0.048981	0	0.048294	0	0	0
ENSG00000187775	0.02347	0.0056989	0.032121	0	0	0	0	0	0	0	0.01314	0.039256	0	0	0	0	0.01069	0	0	0	0	0.116	0.065643	0.10581	0.04552	0.012874	0.042323
ENSG00000187778	55.6746	62.1044	72.1331	38.3186	34.1576	57.0777	65.2917	76.509	90.3168	8.7949	18.9837	23.8845	46.9196	44.0854	39.8141	50.1839	53.5847	50.2325	43.7934	38.6735	35.6142	61.3842	70.974	77.2164	46.6757	32.2292	48.8112
ENSG00000187783	0.073048	0.12327	0.056923	0	0	0	0	0	0.031495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187790	4.4055	4.7491	3.4643	0.99956	0.8973	1.4173	5.9234	4.2492	6.8174	0.52139	2.0858	2.8732	3.0595	1.984	1.6022	2.7432	2.5791	5.4296	3.6438	4.7798	5.038	12.546	13.271	9.1338	2.5524	4.2691	4.2614
ENSG00000187791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09868	0	0	0	0	0	0.068478	0	0	0	0	0
ENSG00000187792	0.69698	0.69571	1.064	0.70175	0.75844	0.8299	0.54206	0.29155	0.62289	0.54457	0.45659	0.49609	0.69018	0.85917	0.37446	1.4312	1.0697	1.3605	2.7551	2.578	2.3986	2.1285	2.0769	2.5373	0.66205	0.9064	1.1971
ENSG00000187796	0	0	0	4.9337	2.1631	2.3652	0.062635	0.10052	0.16504	0	0.16051	0.45594	0.016595	0	0.0046666	0	0	0	0	0	0	0	0	0	0	0.032357	0
ENSG00000187800	0	0.29033	0.93923	8.35	6.9455	9.2927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2462	1.8193	2.5681	0.22763	0	0.12815
ENSG00000187801	0.98365	0.85528	1.577	1.1425	1.0878	0.95618	1.6288	1.7868	1.3752	0.94092	1.9389	2.7582	1.7373	1.2352	1.1504	1.9304	1.2945	2.3411	1.938	1.5125	1.9456	13.5972	9.6534	12.6417	3.987	9.3999	7.4468
ENSG00000187806	0	0	0	0	0	0	0.11355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187808	0	0.073368	0.18002	0.38322	0.40233	0.18627	0.7049	0.57625	0.97997	0.21986	0.88882	0.52331	0.22785	0.11573	0.2236	0.055705	0.058227	0	0	0	0	0	0	0	0.15977	0.11649	0.15382
ENSG00000187815	0	0	0	1.9565	1.6081	1.6561	3.6915	2.4136	2.9319	0.42196	2.1331	2.2983	4.3262	3.9996	3.5367	1.2752	1.1652	2.0606	3.1261	2.9139	3.0878	4.5617	6.0461	5.9204	0.026644	0.24585	0.10845
ENSG00000187821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187824	3.3183	2.5483	1.1292	5.867	6.1327	2.4476	0.037921	0	0.049876	0.39389	0.23735	0.3255	0.35702	0.026588	0.27064	0.99175	0.13138	0.10069	0.86585	0.9193	0.92216	0.32145	1.3347	0.18207	0.26947	0.37293	0.54384
ENSG00000187833	0	0	0	0	0	0	0.094545	0.049312	0.25471	0	0	0	0	0	0	0.051996	0.027329	0.018611	0	0	0	0	0	0	0	0.072581	0.018042
ENSG00000187837	78.2813	78.9275	72.7812	30.991	39.0207	42.5466	63.9541	45.6254	56.0228	8.9092	39.2075	38.6609	42.2397	54.0521	53.6088	20.5249	30.1294	21.051	16.129	18.371	14.687	802.986	918.248	1059.76	7.5304	7.7479	6.6844
ENSG00000187838	14.3949	22.2942	24.1431	75.0392	69.5837	66.9129	13.3893	13.4436	20.4962	1.3991	3.8151	4.2159	42.4574	40.9709	26.7547	62.7912	57.8834	53.2808	16.2705	15.2809	9.6212	21.7099	30.7406	38.0057	37.6284	19.7835	27.0598
ENSG00000187840	31.7073	71.2094	114.456	47.6592	28.3647	24.0235	42.712	70.847	71.7325	2.2108	7.2984	7.8219	37.2681	17.8877	41.6092	121.225	62.9626	62.5498	146.46	85.0699	60.983	49.3517	45.4252	78.7284	140.053	72.8671	137.025
ENSG00000187848	0	0	0	0	0	0	0.14634	0.078271	0.087063	0	0	0	0.052623	0.093449	0.025799	0	0	0.057912	0	0	0	0	0.036439	0.060124	0	0	0.05591
ENSG00000187855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
